"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"WILLIAM SCHWANTES","LYNN DAIRY INC","W1929 US HWY 10","GRANTON","WI","54436","CLARK","TOWN of LYNN","REGAN SCHWANTES","2027-06-30","2026-06-10","5","1","0","0","1","0",
"WILLIAM SCHULTZ PROPERTIES","MAIN STREET MOBIL MART","726 NORTH MAIN STREET","VIROQUA","WI","54665","VERNON","CITY of VIROQUA","Jacob Gardner","2026-06-30","2025-08-01","5","1","1","1","1","0",
"WILLIAM SCHEURER","THREE LAKES CONVENIENCE STORE","1742 SUPERIOR ST","THREE LAKES","WI","54562","ONEIDA","TOWN of THREE LAKES","WILLIAM SCHEURER","2026-06-30","2025-06-30","25","1","1","1","1","0",
"WILLIAM S. WOLF","WILD BILL'S TAP LLC","N5216 COUNTY ROAD C","RIB LAKE","WI","54470","TAYLOR","TOWN of GREENWOOD","","2027-06-30","2026-06-15","25","1","1","0","1","0",
"WILLIAM ROBERT NAEF","BILL'S BAR","N1594 HWY 64","MERRILL","WI","54452","LINCOLN","TOWN of PINE RIVER","NULL","2026-06-30","2025-06-28","5","1","1","1","1","0",
"WILLIAM RIEDEL","THE WASTED GRAIN, LLC","N1182 STATE ROAD 73","THORP","WI","54771","TAYLOR","TOWN of ROOSEVELT","WILLIAM RIEDEL","2026-06-30","2025-06-27","10","1","0","0","1","0",
"WILLIAM KREUTZ","SCHLINGO'S ROCKVILLE BAR","21933 MAIN ST","KIEL","WI","53042","MANITOWOC","TOWN of SCHLESWIG","WILLIAM KREUTZ","2027-06-30","2026-06-17","5","1","0","0","1","0",
"WILLARD WELL","WILLARD WELL","N8631 CTY HWY G","WILLARD","WI","54493","CLARK","TOWN of HENDREN","DONALD TIEMAN","2026-06-30","2025-06-30","25","1","1","0","1","0",
"WILKINS RESORT INC","WILKINS Capital, LLC","2351 109TH STREET","LUCK","WI","54853","POLK","TOWN of GEORGETOWN","Nathan Labatt & Andrew Jensen","2027-06-30","2026-06-22","50","1","0","0","1","0",
"WILDO CORPORATION","HOLLIDAY FOOD & SPORT","715 W. MAIN ST.","WAUPUN","WI","53963","DODGE","CITY of WAUPUN","DAVID BLOCK","2026-06-30","2025-07-29","100","1","1","1","1","0",
"WILDO COPRPRATION","HOLLIDAY FOOD & SPORT","1644 N. SPRING ST.","BEAVER DAM","WI","53916","DODGE","CITY of BEAVER DAM","KARLA BLOCK","2026-06-30","2025-07-24","100","1","1","1","1","0",
"WILD ROSE LIQUOR, VARIETY & HARDWARE, LLC","WILD ROSE LIQUOR/VARIETY/HARDWARE LLC","651 COUNTY ROAD G & H","WILD ROSE ","WI","54984","WAUSHARA","VILLAGE of WILD ROSE","TIMOTHY  BATTEN","2026-06-30","2025-12-04","5","1","1","0","1","0",
"WILD ROGUES LLC","ELWOOD'S LIQUOR & TAP","1111 N WATER ST","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","SHOWERS, NATHAN S, AGENT","2025-07-26","2025-07-15","100","1","1","0","1","0",
"WILD BILL'S SPORTING GOODS SPIRITS INC","WILD BILL'S SPORTING GOODS SPIRITS, INC.","26798 LAKELAND AVE N","WEBSTER","WI","54893","BURNETT","VILLAGE of WEBSTER","MICHAEL REMUND","2027-06-30","2026-06-15"," 100.00","1","1","1","1","0",
"WILBAR INC","WILDERNESS & GLACIER CANYON","511 E ADAMS/920CANYON/45 HILLMAN","LAKE DELTON","WI","53940","SAUK","VILLAGE of LAKE DELTON","THOMAS LUCKE","2026-06-30","2025-07-14","100","1","1","1","1","0",
"WI RAPIDS SMOKE SHOP INC.","RAPIDS SMOKE SHOP","4323 8TH STREET SOUTH","WISCONSIN RAPIDS","WI","54494","WOOD","CITY of WISCONSIN RAPIDS","MOHAMAD A. WAZWAZ","2026-06-30","2025-08-27","100","1","1","1","1","0",
"WI JDT LLC","WI JDT LLC","2960 S CHASE AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","KOENIG, TIMOTHY A, AGENT","2026-05-19","2025-07-15","100","1","1","0","1","0",
"WI FOODLINER, INC. ","FESTIVAL FOODS","800 E MAES AVE","VILLAGE OF KIMBERLY","WI","54136","OUTAGAMIE","VILLAGE of KIMBERLY","Jason Jacobs","2026-06-30","2026-01-29","25","1","1","0","1","0",
"WI Foodliner, Inc. ","Festival Foods","800 E Maes Ave","Village of Kimberly","WI","54136","OUTAGAMIE","VILLAGE of KIMBERLY","Jason Jacobs","2026-06-30","2026-01-29","25","1","1","0","1","0",
"WI FOODLINER INC","FESTIVAL FOODS","1200 WEST NORTHLAND AVENUE","APPLETON","WI","54914","OUTAGAMIE","CITY of APPLETON","RYAN PELOT","2026-06-30","2026-03-18","100","1","1","0","1","0",
"WI Cstore, Inc","WI Cstore, Inc","237 Keller Ave S","Amery","WI","54001","POLK","CITY of AMERY","Jessica Braatz","2027-06-30","2026-06-18"," 100.00","1","1","1","1","0",
"WI Cstore Inc.","WI Cstore","530 East Division Street","Barron","WI","54812","BARRON","CITY of BARRON","Annette Collier","2026-06-30","2026-01-21","100","1","0","0","1","0",
"WI Cstore Inc.","WI Cstore","100 Second Street","Hudson","WI","54016","ST CROIX","CITY of HUDSON","Tracey E. Bowman","2026-06-30","2025-12-11","100","1","1","1","1","0",
"WI CSTORE INC.","WI CSTORE","110 S 8TH ST","MEDFORD","WI","54451","TAYLOR","CITY of MEDFORD","Kimberly Krawczyk","2026-06-30","2026-03-05","50","1","1","1","1","0",
"WI Cstore Inc.","WI Cstore","110 S 8th St","Medford","WI","54451","TAYLOR","CITY of MEDFORD","Kimberly Krawczyk","2026-06-30","2026-03-05","50","1","1","1","1","0",
"WI CSTORE INC.","WI CSTORE","530 EAST DIVISION STREET","BARRON","WI","54812","BARRON","CITY of BARRON","Annette Collier","2026-06-30","2026-01-21","100","1","0","0","1","0",
"WI CSTORE INC.","WI CSTORE","100 SECOND STREET","HUDSON","WI","54016","ST CROIX","CITY of HUDSON","Tracey E. Bowman","2026-06-30","2025-12-11","100","1","1","1","1","0",
"WI CSTORE INC","WI CSTORE","577 DAVIS ST","HAMMOND","WI","54015","ST CROIX","VILLAGE of HAMMOND","TRACEY BOWMAN","2027-06-30","2026-05-12"," 100.00","1","1","1","1","0",
"WI ADVENTURE, LLC DBA EXILE BAR","EXILE BAR","N4304 COUNTY ROAD S","PLUM CITY","WI","54761","PIERCE","TOWN of ROCK ELM","KATHY THORN","2027-06-30","2026-06-17","25","1","0","0","1","0",
"WHS, LLC","PITCHERS PUB","323 W BELTLINE HWY","FITCHBURG","WI","53713","DANE","CITY of FITCHBURG","ZACHARY JORDAN","2026-06-30","2025-07-14","100","1","0","0","1","0",
"WHO'S ON LAYTON MKE LLC","WHO'S ON LAYTON","512 W LAYTON AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","WILTGEN, ROBERT L, AGENT","2025-08-22","2025-07-15","100","1","1","0","1","0",
"WHO'S ON 3RD","5D INSIGHT LLC","126 3RD ST N","LA CROSSE","WI","54601","LA CROSSE","CITY of LA CROSSE","TIMOTHY SEAN HESSE","2026-06-30","2025-09-26","100","0","0","1","1","0",
"WHO WANT SMOKE? TOBACCO SHOP, LLC","WHO WANT SMOKE TOBACCO SHOP","415 E CENTER ST","MILWAUKEE","WI","53212","MILWAUKEE","CITY of MILWAUKEE","LEE-BROWN, SHAQUITA S, AGENT","2025-11-03","2025-07-15","100","1","1","1","1","0",
"WHITEWATER PETROLEUM COMPANY","WHITEWATER PETROLEUM COMPANY","804 W WALWORTH AVE","WHITEWATER","WI","53190","WALWORTH","CITY of WHITEWATER","AHMAD, MOBIN","2026-06-30","2025-07-11","100","1","1","1","1","0",
"WHITETAIL CROSSING NEKOOSA","WHITETAIL CROSSING NEKOOSA","4910 CREAMERY ROAD","NEKOOSA","WI","54457","WOOD","TOWN of PORT EDWARDS","SUSAN WALCZAK","2026-06-30","2025-07-13","10","1","1","0","1","0",
"WHITETAIL CROSSING","WHITETAIL CROSSING","W9040 HIGHWAY 54 E.","BLACK RIVER FALLS","WI","54615","JACKSON","TOWN of BROCKWAY","Linda Shumacher","2025-06-30","2024-09-04","0","1","1","1","1","0",
"WHITEHALL FOOD BANK, INC.","RANDY'S NEIGHBORHOOD MARKET WHITEHALL","36394 ELLIS ST","WHITEHALL","WI","54773","TREMPEALEAU","CITY of WHITEHALL","TIMOTHY SMITH","2027-06-30","2026-06-25","50","1","1","0","1","0",
"WHITE WAY HOLDINGS, INC.","TOWN AND COUNTRY MART, LLC","2050 CTH MM","FITCHBURG","WI","53575","DANE","CITY of FITCHBURG","NIRBHAI PANGLI","2026-06-30","2025-07-14","100","1","1","1","1","0",
"WHITE PIG TAVERN LLC","WHITE PIG TAVERN","134 W. MAIN ST","MONDOVI","WI","54755","BUFFALO","CITY of MONDOVI","Mitchell Stout","2027-06-30","2026-06-10","30","1","1","0","1","0",
"WHITE LAKES TOP SECRET LLC","WHITE LAKES TOP SECRET","N4087 CTY M","WHITE LAKE","WI","54491","LANGLADE","TOWN of WOLF RIVER","SARAH NAULT","2027-06-30","2026-06-24","10","1","1","0","1","0",
"WHITE BIRCH BAR AND GRILL","WHITE BIRCH BAR AND GRILL","1039 STATE HIGHWAY 64","BLOOMER","WI","54724","CHIPPEWA","TOWN of AUBURN","NOEL LOFTHUS","2026-06-30","2025-07-25","5","1","0","0","1","0",
"WHISPERING PINES OF WISCONSIN INC","PARADISE PINES RESORT LLC","N12788 S  PRAIRIE RD ","OSSEO","WI","54758","JACKSON","TOWN of GARFIELD","Jeremy Skroch","2027-06-30","2026-06-15","10","1","1","0","1","1",
"WHISKEY WATERS, LLC","WHISKEY WATERS","N50W35124 WISCONSIN AVENUE","OCONOMOWOC","WI","53066","WAUKESHA","TOWN of OCONOMOWOC","AMI SHOCKLEY","2026-06-30","2025-06-26","100","1","0","0","1","0",
"WHISKEY NICK'S LLC","WHISKEY NICK'S LLC","600 E PIONEER ","CRANDON","WI","54520","FOREST","CITY of CRANDON","Nicholas Schmoll","2026-06-30","2025-06-30","35","1","1","1","1","0",
"WHETUNGS BOTTOMS UP LLC","BOTTOMS UP","15013 N MARIBEL RD","MARIBEL","WI","54227","MANITOWOC","VILLAGE of MARIBEL","DONALD WHETUNG","2026-06-30","2025-07-10","5.00","1","0","0","1","0",
"WHEELS PLUS GAS & GROCERY LLC","PETRO MART","6745 W FOREST HOME AVE","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","EHAB MOHANY","2026-06-30","2025-07-23","100","1","1","1","1","0",
"WF GROUP LLC","BP ON CLEMENT","1203 E OKLAHOMA AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","SHAHID, WAQAS, AGENT","2025-10-26","2025-07-15","100","1","1","1","1","0",
"WESTSIDE WINE & SPIRITS LLC","WESTSIDE LIQUOR LLC","7607 ST HWY 16","SPARTA","WI","54656","MONROE","TOWN of SPARTA","Juston Kahl","2027-06-30","2026-06-10","100","1","1","0","1","0",
"WESTOWN OF KENOSHA, INC","WESTOWN FOODS & LIQUOR","3203 60TH ST","KENOSHA","WI","53144","KENOSHA","CITY of KENOSHA","HANI ALI","2027-06-30","2026-06-25","100","1","1","1","1","0",
"WESTMOOR COUNTRY CLUB, INC.","WESTMOOR COUNTRY CLUB","400 S. MOORLAND ROAD","BROOKFIELD","WI","53005","WAUKESHA","CITY of BROOKFIELD","DANIEL J MORN","2025-06-30","2024-08-12","100","1","1","0","1","0",
"WESTFIELD MART, INC.","WESTFIELD MART","327 E. 2ND STREET","WESTFIELD","WI","53964","MARQUETTE","VILLAGE of WESTFIELD","LAKHBIR SINGH","2027-06-30","2026-06-16","50","1","1","1","1","0",
"WESTBY ROD & GUN CLUB INC","WESTBY ROD & GUN CLUB INC","215 S MAIN","WESTBY","WI","54667","VERNON","CITY of WESTBY","STEVE CAMPTON  MANAGER","2027-06-30","2026-06-24","50","1","0","0","1","0",
"West Side Mart, LLC","West Side Mart","529 W Sumner St","Hartford","WI","53027","WASHINGTON","CITY of HARTFORD","Mandeep Dran","2026-06-30","2025-07-07","55","1","1","1","1","0",
"WEST PETRO INC","SHELL WEST","3100 W. WASHINGTON STREET","WEST BEND","WI","53095","WASHINGTON","CITY of WEST BEND","HARMINDER BASRA","2026-06-30","2025-07-14","0","1","1","1","1","0",
"WEST GRAND FOODS, INC.","QUALITY FOODS HOMETOWN MARKETS","1021 WEST GRAND AVENUE","WISCONSIN RAPIDS","WI","54495","WOOD","CITY of WISCONSIN RAPIDS","MERLIN W. JEFFERY","2026-06-30","2025-08-27","100","1","1","0","1","0",
"WEST BEND VAPE AND GLASS LLC","WEST BEND VAPOR","807 S MAIN ST","WEST BEND","WI","53095","WASHINGTON","CITY of WEST BEND","TARIK JAMAL","2026-06-30","2025-07-14","0","0","1","1","1","0",
"WEST BEND STORE LLC","WEST BEND BP","5105 COUNTY ROAD P S","WEST BEND","WI","53095","WASHINGTON","TOWN of WEST BEND","DHAVAL PATEL","2026-06-30","2026-06-09","37.5","1","1","1","1","0",
"WEST BEND COUNTRY CLUB","WEST BEND COUNTRY CLUB","5858 HWY Z","WEST BEND","WI","53095","WASHINGTON","TOWN of WEST BEND","HEATHER DUNN","2026-06-30","2026-06-09","50","0","1","0","1","0",
"WEST ALLIS QUICK STOP LLC","QUICK STOP FOOD & LIQUOR","2366 S 9TH PL","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","MANASSRA, AYMAN R, AGENT","2026-03-18","2025-07-15","100","1","1","1","1","0",
"WENDY SEELY","GIDDY UP","N0760 CTY RD FF","DALTON","WI","53926","GREEN LAKE","TOWN of KINGSTON","WENDY SEELY","2027-06-30","2026-06-24","20","1","1","1","1","0",
"WENDY DAGNALL","WENDY'S EZ AXIS","310 N MAIN ST","FALL RIVER","WI","53932","COLUMBIA","VILLAGE of FALL RIVER","","2026-06-30","2025-06-18","50","1","1","0","1","0",
"WEMMER MANAGMENT INVESTMENTS INC","THE ROCK CAMPING RESORT","N4310 26TH AVE ","MAUSTON","WI","53948","JUNEAU","TOWN of MARION","JULIE WEMMER","2027-06-30","2026-06-17"," 5.00","1","0","0","1","0",
"WELSING'S FOODLAND, INC.","WELSING'S FOODLAND","4436 WHITEFISH BAY RD.","STURGEON BAY","WI","54235","DOOR","TOWN of SEVASTOPOL","PATRICK W WELSING","2026-06-30","2025-07-07","10","1","1","0","1","0",
"WELSING & SON LLC","LAKESIDE AMOCO","205 N WARRINGTON AVENUE","CECIL","WI","54111","SHAWANO","VILLAGE of CECIL","","2026-06-30","2025-07-02","25","1","1","0","1","0",
"WELLS FOOD LLC","WELLS FOOD","2131 W WELLS ST","MILWAUKEE","WI","53233","MILWAUKEE","CITY of MILWAUKEE","BARAKAT, ABDELHAKEEM M, AGENT","2025-07-05","2025-07-15","100","1","1","0","1","0",
"WELLPRO EDGE ","WELLPRO EDGE ","5201 WASHINGTON AVE SUITE M","MOUNT PLEASANT","WI","53406","RACINE","VILLAGE of MOUNT PLEASANT","CAROLYN DAME ","2026-06-30","2025-07-01","100","0","0","1","1","0",
"WELCOME MILWAUKEE LLC","WELCOME MART","350 N PLANKINTON AV","MILWAUKEE","WI","53203","MILWAUKEE","CITY of MILWAUKEE","WALIA, HARJEET S, AGENT","2025-10-09","2025-07-15","100","1","1","0","1","0",
"WELCOME EAST SIDE, LLC","WELCOME MART","17200 W CLEVELAND AVE","NEW BERLIN","WI","53146","WAUKESHA","CITY of NEW BERLIN","HARJEET WALIA","2026-06-30","2026-02-10","100","1","1","1","1","0",
"WEILER ENTERPRISES LLC","WEILER CONVENIENCE STORE","2401 E. 5TH STREET","MARSHFIELD","WI","54449","WOOD","CITY of MARSHFIELD","KELLY WEILER","2026-06-30","2025-07-07","0","1","1","1","1","0",
"WEILER ENTERPRISES LLC","WEILER CONVENIENCE STORE","2005 N. CENTRAL AVENUE","MARSHFIELD","WI","54449","MARATHON","CITY of MARSHFIELD","KELLY WEILER","2026-06-30","2025-07-07","0","1","1","1","1","0",
"WEILER ENTERPRISES LLC","WEILER CONVENIENCE STORE","600 N. CENTRAL AVENUE","MARSHFIELD","WI","54449","WOOD","CITY of MARSHFIELD","KELLY WEILER","2026-06-30","2025-07-07","0","1","1","1","1","0",
"WEBER'S NORTHWOODS TAVERN","WEBER'S NORTHWOODS TAVERN LLC","12131 W STATE ROAD 77","HAYWARD","WI","54843","SAWYER","TOWN of SPIDER LAKE","Michael Weber","2026-06-30","2025-07-20","20","1","0","0","1","0",
"WEBER OIL COMPANY., INC.","WEBER'S SELF SERVE","64 E. CHESTNUT ST.","CHILTON","WI","53014","CALUMET","CITY of CHILTON","CONNIE M. KLAPPERICH","2027-06-30","2026-06-09","100","1","1","1","1","0",
"WEBER FAMILY STATIONS","WEBER'S EXPRESS","N6714 CO RD W","MT. CALVARY","WI","53057","FOND DU LAC","TOWN of FOREST","DENNIS WEBER","2026-06-30","2025-06-27","25","1","1","1","1","0",
"WEBER FAMILY STATION, LLC","WEBER'S OF WHITELAW","138 E. MENASHA AVENUE","WHITELAW","WI","54247","MANITOWOC","VILLAGE of WHITELAW","Connie Klapperich","2027-06-30","2026-06-10","50","1","1","1","1","0",
"WEBER FAMILY STATION, LLC","WEBER'S OF PLYMOUTH","3250 CTY RD PP","PLYMOUTH","WI","53073","SHEBOYGAN","CITY of PLYMOUTH","DENNIS K  WEBER","2026-06-30","2025-07-07","100","1","1","1","1","0",
"WEBER FAMILY STATION LLC","WEBERS OF ST CLOUD","1313 MAIN ST.","ST. CLOUD","WI","53079","FOND DU LAC","VILLAGE of SAINT CLOUD","DENNIS WEBER","2026-06-30","2025-07-02","10","1","0","0","1","0",
"WEBER FAMILY STATION LLC","WEBER'S BP","2305 CALUMET DR.","NEW HOLSTEIN","WI","53061","CALUMET","CITY of NEW HOLSTEIN","CONNIE KLAPPERICH","2026-06-30","2025-06-27","100","1","1","1","1","0",
"WAYNE WYMAN","WYMAN'S HOOK, LINE & SINKER","127752 CTY. RD. C","AUBURNDALE","WI","54412","MARATHON","TOWN of GREEN VALLEY","","2025-06-30","2025-06-26","5","1","0","0","1","0",
"WAYNE PHILLIP BLEY","BLEY'S GROCERY","6318 STATE HWY 57","STURGEON BAY","WI","54235","DOOR","TOWN of JACKSONPORT"," ","2026-06-30","2025-07-08","20","1","1","1","1","0",
"WAYNE L LANPHEAR & LARRY C LANPHEAR","WHITE CREEK TAVERN","1488 CTY H","WISCONSIN DELLS","WI","53965","ADAMS","TOWN of EASTON","WAYNE LANPHEAR","2027-06-30","2026-06-23","10","1","0","0","1","0",
"WAUTOMA SHELL LLC","WAUTOMA SHELL LLC","W7684 STATE ROAD 21/73","WAUTOMA","WI","54982","WAUSHARA","TOWN of WAUTOMA","GREG YAEGER","2026-06-30","2025-07-07","100","1","1","1","1","0",
"WAUSHARA COUNTRY CLUB INC","WAUSHARA COUNTRY CLUB INC","N2410 HILLSIDE ST","WAUTOMA","WI","54982","WAUSHARA","TOWN of DAKOTA","JEFFERY EGGERS","2026-06-30","2025-06-18","100","0","1","0","1","0",
"WAUSAU FOODS INC","LAMB'S FRESH MARKET","730 E WAUSAU AVE","WAUSAU","WI","54403","MARATHON","CITY of WAUSAU","JAMES R LAMB","2026-06-30","2025-07-11","100","1","1","0","1","0",
"WAUSAU COUNTRY CLUB INC","WAUSAU COUNTRY CLUB","208 COUNTRY CLUB RD","SCHOFIELD","WI","54476","MARATHON","CITY of SCHOFIELD","DOUG J. CHEEVER","2026-06-30","2026-05-29","100","0","1","0","1","0",
"WAUPACA FUEL INC","NELSON'S SHELL","1104 CHURCHILL ST","WAUPACA","WI","54981","WAUPACA","CITY of WAUPACA","SONYA NELSON","2027-06-30","2026-06-16"," 100.00","1","1","0","1","0",
"WAUKESHA TOBACCO PLUS LLC","OCEAN TOBACCO","485 WRIGHT RD","JOHNSON CREEEK","WI","53038","JEFFERSON","VILLAGE of JOHNSON CREEK","ANAN BARBARAWI","2026-06-30","2026-04-30","100","1","1","1","1","0",
"WAUKESHA TOBACCO PLUS LLC","SMOKE WORLD VAPE WATERTOWN","1907 MARKET WAY UNIT H","WATERTOWN","WI","53094","JEFFERSON","CITY of WATERTOWN","ANAN BARBARAWI","2026-06-30","2026-03-26","100","1","1","1","1","0",
"WATERFRONT BAR AND GRILL, LLC","WATERFRONT BAR AND GRILL","215 N MAIN STREET","KEWAUNEE","WI","54216","KEWAUNEE","CITY of KEWAUNEE","ALLISON PANSIER","2027-06-30","2026-06-19","50","1","1","0","1","0",
"WATERFRONT BAR & GRILL LLC","WATERFRONT BANQUET HALL & CATERING","1510 ELLIS STREET","KEWAUNEE","WI","54216","KEWAUNEE","CITY of KEWAUNEE","ALLISON PANSIER","2027-06-30","2026-06-19","50","1","1","0","1","0",
"WATERFORD FOOD MART, INC.","WATERFORD FOOD MART","232 W MAIN ST","WATERFORD","WI","53185","RACINE","VILLAGE of WATERFORD","SULEMAN AFZAL","2027-06-30","2026-06-18","100","1","1","1","1","0",
"WASHINGTON PARK TAVERN, INC","STAN'S PLACE","1510 WASHINGTON RD ","KENOSHA","WI","53140","KENOSHA","CITY of KENOSHA","BERNICE LECCE","2027-06-30","2026-06-25","100","1","1","1","1","0",
"WALWORTH CELLARS LLC","WALWORTH CELLARS","690 KENOSHA ST","WALWORTH","WI","53184","WALWORTH","VILLAGE of WALWORTH","Suzanne Dorsey-Sterling","2027-06-30","2026-06-22","100","1","1","1","1","0",
"WALTERS GROCERY, LLC","WALTERS GROCERY","3821 W LOCUST ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","WALTERS, ASTON B, AGENT","2025-07-26","2025-07-15","100","1","1","0","1","0",
"WALTBERG OF MILTON, LLC","RED ZONE PUB & GRILL","403 W HIGH ST","MILTON","WI","53563","ROCK","CITY of MILTON","MEGHEN BLANKENBERG","2026-06-30","2025-09-26","100","1","1","1","1","0",
"WALTBERG OF MILTON, LLC","RED ZONE PUB & GRILL","403 W HIGH ST","MILTON","WI","53563","ROCK","CITY of MILTON","MEGHEN BLANKENBERG","2026-06-30","2025-09-26","100","1","1","1","1","0",
"WALMART STORES EAST, LP","WALMART 1274","1362 W MAIN ST","WHITEWATER","WI","53190","WALWORTH","CITY of WHITEWATER","WATTS, THOMAS G","2026-06-30","2025-07-11","100","1","1","1","1","0",
"WALMART STORES EAST, LP","WALMART SUPER CENTER #5373","2786 COMMERCIAL BLVD","LAKE HALLIE","WI","54729","CHIPPEWA","VILLAGE of LAKE HALLIE","Kaitlyn Fladhammer","2026-06-30","2025-07-14","100","1","1","0","1","0",
"WALMART STORES EAST, LP","WALMART #2986","1155 W WINNECONNE AVENUE","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","SAMANTHA L ENGELHARDT","2026-06-30","2025-10-07","100","1","1","0","1","0",
"WALMART STORES EAST, LP","WALMART STORE 1471","1717 N. SHAWANO STREET","NEW LONDON","WI","54961","WAUPACA","CITY of NEW LONDON","Moeisha Bernard","2026-06-30","2026-03-31","50","1","1","1","1","0",
"WALMART STORES EAST, LP","WALMART #1650","825 E GREEN BAY AVE","SAUKVILLE","WI","53080","OZAUKEE","VILLAGE of SAUKVILLE","LAKEESHA POE","2026-06-30","2026-03-04","100","1","1","1","1","0",
"WALMART STORES EAST, LP","WALMART #1799","2950 NEW PINERY RD","PORTAGE","WI","53901","COLUMBIA","CITY of PORTAGE","ZACHARY J ZEMAN","2026-06-30","2025-07-25","100","1","1","1","1","0",
"WALMART STORES EAST LP","WALMART #5667","222 N. CHICAGO AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE"," HEBAH SAMI","2026-06-30","2025-07-03","100","1","1","1","1","0",
"WALMART STORES EAST","WALMART STORE #558","5301 S 76TH STREET","GREENDALE","WI","53129","MILWAUKEE","VILLAGE of GREENDALE","Andrew Wolf","2026-06-30","2025-07-11","100","1","1","0","1","0",
"WALMART STORES","WALMART #979","1600 W WISCONSIN ST","SPARTA","WI","54656","MONROE","CITY of SPARTA","KYLE SWANSON","2026-06-30","2025-08-14","100","1","1","0","1","0",
"WALLER RUSH LLC","LANGER'S BAR","N5330 387TH STREET","ELLSWORTH","WI","54011","PIERCE","TOWN of EL PASO","LISA WALLER","2027-06-30","2026-06-09","15","1","1","0","1","0",
"WALKERS POINT PLAZA, LLC","WALKERS POINT PLAZA","605 S 1ST ST","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","BHATIA, VARINDER P, AGENT","2026-05-05","2025-07-15","100","1","1","1","1","0",
"WALIA INVESTMENTS INC","WELCOME MOBIL MART","112 N PORT WASHINGTON ROAD","GRAFTON","WI","53024","OZAUKEE","TOWN of GRAFTON","HARJEET S WALIA","2026-06-30","2025-06-16","100","1","1","1","1","0",
"WALGREENS, CO","WALGREENS #07635","808 S DULUTH AVENUE","STURGEON BAY","WI","54235","DOOR","CITY of STURGEON BAY","SARAH J OLSON","2026-06-30","2025-08-18","100","1","0","0","1","0",
"WALGREENS CO.,","WALGREENS STORE #12021","320 W. SUMMIT AVENUE","WALES","WI","53183","WAUKESHA","VILLAGE of WALES","Renee Meby","2027-06-30","2026-06-10","75","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #07965","7520 120TH AVENUE","PLEASANT PRAIRIE","WI","53158","KENOSHA","VILLAGE of PLEASANT PRAIRIE","STEVE PFEILSTIFTER","2026-06-30","2025-06-23","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #06096","1901 PRAIRIE AVE","BELOIT","WI","53511","ROCK","CITY of BELOIT","REGINA C ROPER","2026-06-30","2025-07-23","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #11528","1531 MADISON RD","BELOIT","WI","53511","ROCK","CITY of BELOIT","TAMMY PATTERSON","2026-06-30","2025-07-23","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #12136","910 BROAD ST","BELOIT","WI","53511","ROCK","CITY of BELOIT","KIMBERLY K CAMPBELL","2026-06-30","2025-07-23","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #05600","351 EDWARDS BLVD.","LAKE GENEVA","WI","53147","WALWORTH","CITY of LAKE GENEVA","SUZANNE M TIEDKE","2026-06-30","2026-02-16","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #06130","3700 UNIVERSITY AVE","MADISON","WI","53705","DANE","VILLAGE of SHOREWOOD HILLS","JASON EWING","2026-06-30","2025-11-20","100","1","1","0","1","0",
"WALGREENS CO.","WALGREENS #5807","2931 S. FISH HATCHERY OAD","FITHBURG","WI","53711","DANE","CITY of FITCHBURG","CASSANDRA DIERCKS","2026-06-30","2025-07-14","100","1","0","0","1","0",
"WALGREENS CO","WALGREENS #07731","N65W25055 MAIN STREET","Sussex","WI","53089","WAUKESHA","VILLAGE of SUSSEX","BRIAN BROWN","2026-06-30","2025-06-30","100","1","1","1","1","0",
"WALGREENS CO","WALGREENS #02927","4810 WASHINGTON AVE","RACINE","WI","53406","RACINE","CITY of RACINE","MELISSA MELENDEZ","2026-06-30","2026-04-01","1","1","1","1","0","0",
"WALGREENS CO","WALGREENS #03022","819 N MEMORIAL","RACINE","WI","53404","RACINE","CITY of RACINE","DAVID KWACZALA","2026-06-30","2026-04-01","1","1","1","1","0","0",
